 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	rlulery
Date:	6/26/2013 10:38:27 AM
StationID:	0
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	AET(mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
10/22/2001	65.2509507953404	20.4483691598339	1.40158952351942E-27	0	0	0	0.925770167414324	0.907857340670304	36.2841571259018	0.785120207994313	0	0
10/23/2001	202.94957350426	20.8192177494135	0.181628155416658	0.461520029061882	0.136391552213287	0	0.928767693652237	0.928767693652237	41.9995535846095	8.58795197466626	0	17.36505521
10/24/2001	415.840115503368	21.5942460280469	0.44327475136343	1.16121697689296	0.172039803573221	0	0.934692365327312	0.934692365327312	41.9995535846095	27.3764033634618	0	32.73593007
10/25/2001	83.8521968381288	22.3180291028191	2.01246425774035E-05	0	0	0	0.937189018709741	0.919055249888912	41.062362676182	15.707471056794	0	0
10/26/2001	83.2973307471492	23.7119720325348	9.1365735950948E-10	0	0	0	0.959741416875412	0.941171280190268	40.1026192641448	9.06864619769968	0	0
10/27/2001	85.2743062358312	24.7957850622351	4.14799799487445E-14	0	0	0	1.0038088272686	0.984386026565648	39.098808287345	5.26250811705978	0	0
10/28/2001	88.0253944193556	25.6227195065713	1.88318817622064E-18	0	0	0	0.975867402062803	0.9569852437559	38.1229387345612	3.06807940095951	0	0
10/29/2001	89.6494978326979	26.2428606363992	8.54966109300204E-23	0	0	0	0.904512656415431	0.88701114919897	37.2184240281377	1.79637697227314	0	0
10/30/2001	90.5567179132004	26.6998676088069	3.88154013115522E-27	0	0	0	0.862132134126466	0.845450652708904	36.3562898861963	1.055921340513	0	0
10/31/2001	91.012802992786	27.0300270342246	1.76221649324587E-31	0	0	0	0.856099391463862	0.839534638955445	35.5001884475479	0.622915340992105	0	0
11/1/2001	91.1830683232828	27.2625671904668	8.00045050197908E-36	0	0	0	0.901169341916594	0.883732527245025	34.5990168945332	0.368693389397467	0	0
11/2/2001	97.2872237889652	27.4790274544741	0.0231047595181517	0.00809545443308667	0.0636224527257771	0	0.80692589230703	0.80692589230703	38.2254368240564	0.86163767206234	0	5.28920569
11/3/2001	91.21842243507	27.5384239423345	1.04895445930355E-06	0	0	0	0.750894864967625	0.73636572733801	37.4745400234797	0.495368714700026	0	0
11/4/2001	91.2160415526195	27.6371907536886	4.76224587763899E-11	0	0	0	0.73296499291783	0.718782782770864	36.7415730958841	0.287667158577763	0	0
11/5/2001	91.0757641578238	27.6931625649234	2.16205628356743E-15	0	0	0	0.703193490683514	0.689587332816026	36.0383777058262	0.168185209564831	0	0
11/6/2001	90.8517629608306	27.7169858591093	9.81572034165502E-20	0	0	0	0.688621335902702	0.675297136650499	35.3497544677178	0.0988518783735256	0	0
11/7/2001	90.5757729186523	27.7166951254591	4.45633014079031E-24	0	0	0	0.715312698133487	0.701472045816951	34.6344397500468	0.0583571910697347	0	0
11/8/2001	90.2670835732403	27.6983448138455	2.02317075390495E-28	0	0	0	0.713298808211519	0.699497123457939	33.9211388847585	0.0345823762196222	0	0
11/9/2001	89.9377398276066	27.6664920877356	9.18518101248401E-33	0	0	0	0.701272864056863	0.687703871015418	33.2198639560887	0.0205625711157129	0	0
11/10/2001	89.5954383830284	27.6245648193693	4.17006572822111E-37	0	0	0	0.64125898217829	0.628851203796437	32.5786030476609	0.012263620957429	0	0
11/11/2001	89.2452005515428	27.5751407075104	1.89320691166327E-41	0	0	0	0.561175218152923	0.550316988282418	32.0174261105527	0.00733441813654884	0	0
11/12/2001	88.8903642110951	27.5201581372042	8.59514608152636E-46	0	0	0	0.555628667626982	0.544877758929521	31.461795708317	0.00439770872829067	0	0
11/13/2001	88.5331854272253	27.4610750251681	3.90219028399582E-50	0	0	0	0.553952141523399	0.543233672540285	30.9078418051923	0.00264316827724297	0	0
11/14/2001	88.1752110447973	27.3989882614855	1.77159164813118E-54	0	0	0	0.548919242639091	0.538298156113655	30.3589207853648	0.00159219437693284	0	0
11/15/2001	87.8175141276384	27.3347234243874	8.04301363928447E-59	0	0	0	0.567058927515862	0.556086855099742	29.7918599896755	0.00096113555843057	0	0
11/16/2001	87.4608456714719	27.2689021308773	3.65152254302657E-63	0	0	0	0.569738750991258	0.558714826895886	29.2221193296842	0.000581355736595464	0	0
11/17/2001	87.1057342342053	27.2019925920515	1.65778866979434E-67	0	0	0	0.57072038168779	0.559677464387954	28.651397004094	0.000352310208630594	0	0
11/18/2001	86.7525525583668	27.1343475680678	7.52634891697568E-72	0	0	0	0.583224162685083	0.571939309116569	28.0681708230916	0.000213892869613406	0	0
11/19/2001	116.06436955281	27.0556964638459	0.109341197778189	0.036179905909817	0.115919839520796	0	0.608768816323607	0.608768816323607	37.4382193384903	1.79777786097798	0	12.250942135
11/20/2001	86.4348780715599	27.0628152925578	4.96408269927253E-06	0	0	0	0.593243127803775	0.581764417336894	36.8449740945376	1.02087295786059	0	0
11/21/2001	86.6171352463735	27.0907410254099	2.25369005882277E-10	0	0	0	0.594174350203927	0.58267762187789	36.250797594091	0.587194297066209	0	0
11/22/2001	86.5830957493815	27.0931058767264	1.02317370376968E-14	0	0	0	0.585302043601412	0.573976986689918	35.6654934026473	0.340564270617345	0	0
